-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaGraphLaunch         8.03%      25.055ms         8.03%      25.055ms       1.670ms       2.432us         0.00%       2.432us       0.162us           0 B           0 B           0 B           0 B            15  
                                Activity Buffer Request         1.31%       4.078ms         1.31%       4.078ms       4.078ms       1.056us         0.00%       1.056us       1.056us           0 B           0 B           0 B           0 B             1  
                                  cudaStreamIsCapturing         0.06%     201.826us         0.06%     201.826us       1.615us       0.895us         0.00%       0.895us       0.007us           0 B           0 B           0 B           0 B           125  
                 schedule: get_num_common_prefix_blocks         1.13%       3.532ms         1.13%       3.532ms     117.737us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            30  
                     schedule: make_cached_request_data         0.65%       2.025ms         0.65%       2.025ms      67.501us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            30  
                        schedule: update_after_schedule         0.60%       1.859ms         0.60%       1.859ms      61.965us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            30  
                execute_context_1(1024)_generation_0(0)         6.84%      21.348ms        21.50%      67.125ms      13.425ms       0.000us         0.00%       5.193ms       1.039ms           0 B           0 B    -218.30 MB    -220.00 MB             5  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 312.190ms
Self CUDA time total: 263.664ms

